Name,Affiliation,Google Scholar Profile,ORCID Profile,Research Gate Profile,Research Interests/Focus,Taxonomy Tags
Reuben Jonathan Miller,University of Chicago,https://scholar.google.com/citations?user=mXBCfxAAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0009-0007-5670-4559,https://www.researchgate.net/profile/Reuben-Miller,"Intersections of race, poverty, crime control, and social welfare policy","Race and ethnicity, Intersectionality, Poverty, Policing, Criminal justice, Welfare, Policy, Crime"
Yoonsun Choi,University of Chicago,https://scholar.google.com/citations?user=CTbZdHsAAAAJ&hl=en&inst=1297495080519272923&oi=sra,https://orcid.org/0000-0001-5214-5701,,"Debunking the ""model minority"" myth attached especially to Asian Americans; behavior among multiracial youths","Race and ethnicity, Asian Americans and Pacific Islander (AAPI), Mental and behavioral health"
Aimee Hilado,University of Chicago,https://scholar.google.com/citations?hl=en&user=7S1CpLsAAAAJ,https://orcid.org/0000-0002-3449-7196,,"Impact of immigration trauma, early childhood/adult mental health, and culturally sensitive clinical practice for refugee and immigrant populations","Immigration, Trauma, Children and adolescents, Mental and behavioral health, Cultural competence, Clinical Social Work, Refugees"
Miwa Yasui,University of Chicago,,https://orcid.org/0000-0003-3162-2569,https://www.researchgate.net/profile/Miwa-Yasui,"Cultural influences on developmental and familial processes such as ethnic identity development and ethnic-racial socialization, the examination of the culturally responsive assessments and interventions for ethnically diverse children and youth, intervention and prevention of problem behaviors among youth, and observational methodology","Culture, Families and Family Dynamics, Identity, Race and ethnicity, Cultural competence, Children and adolescents, Mental and behavioral health"
Marci A. Ybarra,University of Chicago,,,https://www.researchgate.net/profile/Marci-Ybarra,"Poverty and inequality, social service delivery, work supports, and family well-being","Poverty, Disparities, Economic issues, Labor and employment, Families and Family Dynamics, Wellbeing"
Eve L. Ewing,University of Chicago,https://scholar.google.com/citations?hl=en&user=4F-1vIIAAAAJ,https://orcid.org/0000-0002-3631-8075,,"Race and racism, K-12 public schools, urban education policy, segregation, qualitative research methods, Black feminism, public scholarship, sociology, critical race theory, cultural organizing/community engagement","Race and ethnicity, Discrimination, Education, Urban issues, Policy, Research methods, Black or African American, Gender studies, Critical Race Theory, Community Engagement"
Waldo E. Johnson,University of Chicago,https://scholar.google.com/citations?hl=en&user=YJySsd4AAAAJ,https://orcid.org/0000-0001-9271-7356,https://www.researchgate.net/profile/Waldo-Johnson-4,"The impact of male enhancement services provision to young fathers on their physical and psychological well-being as well as the well-being of adolescent African American and Latina parenting mothers and their children; family formation, self and family sufficiency and stability among low-income urban men","Families and Family Dynamics, Wellbeing, Mental and behavioral health, Children and adolescents, Black or African American, Latinx, Economic issues, Urban issues"
Shantá R. Robinson,University of Chicago,https://scholar.google.com/citations?hl=en&user=spLzecUAAAAJ,https://orcid.org/0000-0001-9271-7356,https://www.researchgate.net/profile/Shanta-Robinson,"The role of social identity in marginalized students’ educational experiences, aspirations, and outcomes; empirical investigations of marginalized student achievement and underachievement; inequities in the distribution of educational resources; and the history, culture, and social organization of K-12 educational institutions","Identity, Oppressed groups, Education, Disparities, Systems"
Travis Albritton,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?hl=en&user=56hKKNgAAAAJ,,https://www.researchgate.net/profile/Travis-Albritton,Critical Theory and Social Work Practice; Educational Equity and Black Males; Diversity in Higher Education,"Social Work practice, Cultural competence, Education, Diversity Equity and Inclusion (DEI), Black or African American"
David Ansong,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?user=izLZGh8AAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-4624-3337,https://www.researchgate.net/profile/David-Ansong,Educational and Economic Disparities; Child and Youth Well-Being; International Social Development; Community Development; Advanced Statistical Methods and Geographic Information Systems (GIS),"Economic issues, Education, Disparities, Children and adolescents, Wellbeing, International issues, Social development, Community Engagement, Research methods"
Iris Carlton-LaNey,University of North Carolina--Chapel Hill,,,https://www.researchgate.net/profile/Iris-Carlton-Laney,Social Welfare History; Aging in Rural Communities,"Welfare, Social Work history, Rural issues, Aging"
Din Chen,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?hl=en&user=I0yhzg0AAAAJ,https://orcid.org/0000-0002-1123-027X,https://www.researchgate.net/profile/Ding-Geng-Chen-2,Quantitative Intervention Research and Methods; Bayesian Methods for Evidence-based Intervention Research; Multi-level Modelling and Structural Equation Modelling; Systematic Review and Meta-analysis; Child Social Welfare,"Research methods, Evidence based practice, Data analysis, Child welfare"
Gina Chowa,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?user=kX0AnpAAAAAJ&hl=en&oi=ao,https://orcid.org/0000-0002-1789-4827,https://www.researchgate.net/profile/Gina-Chowa,Global Social Development; Economic Security; Workforce Development; Social Protection and Financial Inclusion,"Global perspectives, Social development, Economic issues, Labor and employment"
Trenette Goings,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?user=_w18iEYAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0001-6992-4824,https://www.researchgate.net/profile/Trenette-Clark,Health Disparities; Prevention Science; Substance Use Prevention; Adolescents; Emerging Adults,"Health, Disparities, Substance use, Children and adolescents"
Rachel W. Goode,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?user=MS2NDBoAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-1358-3917,https://www.researchgate.net/profile/Rachel-Goode,Behavioral Intervention; Disordered Eating Behaviors; Racial Justice; Social Justice and Confronting Oppression,"Mental and behavioral health, Race and ethnicity, Social justice, Oppressed groups"
Michael Lambert,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?hl=en&user=dTJJq8MAAAAJ,,https://www.researchgate.net/profile/Michael-Lambert,Measurement of Behavior; Treatment of Trauma,"Mental and behavioral health, Trauma"
Rainier Masa,University of North Carolina--Chapel Hill,https://scholar.google.com/citations?user=ABAe3d0AAAAJ&hl=en&inst=9897619243961157265&oi=ao,,,HIV Prevention and Treatment; Food Security; Stigma; Adolescents and Young Adults; Positive Youth Development,"HIV or AIDS, Food insecurity, Children and adolescents"
Bonnie Duran,University of Washington,https://scholar.google.com/citations?user=Q0nPRbQAAAAJ&hl=en&inst=9897619243961157265&oi=ao,,https://www.researchgate.net/profile/Bonnie-Duran-3,"American Indian and Alaska Native health, mental health, alcohol and substance abuse epidemiology and intervention, American Indian and Alaska Native treatment seeking and barriers to care, Community Based Participatory research methods and measures,  Mindfulness based and other southern epistemic Approaches to wellbeing, and resilience ","Indigenous, Health, Mental and behavioral health, Substance use, Treatment barriers, Community based, Research methods, Wellbeing, Resilience"
Amelia Gavin,University of Washington,,https://orcid.org/0000-0003-2200-2368,https://www.researchgate.net/profile/Amelia-Gavin,"African-American women and depression, Maternal depression during pregnancy, Racial disparities in birth outcomes, Lifecourse approach to health disparities, Racial discrimination across the lifecourse, Post-traumatic Stress Disorder","Black or African American, Mental and behavioral health, Race and ethnicity, Disparities, Discrimination, Post Traumatic Stress Disorder (PTSD)"
Abril N. Harris,University of Washington,,https://orcid.org/0000-0001-9738-8141,https://www.researchgate.net/profile/Abril-Harris,"Structural violence and group-based oppression, Anti-racist practice, Socialization and social control, Critical and feminist theories","Systems, Violence, Oppressed groups, Social Work practice, Cultural competence, Gender studies"
David Huh,University of Washington,https://scholar.google.com/citations?user=WKRevNQAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-6357-4883,https://www.researchgate.net/profile/David-Huh,"Quantitative Methodology for Clinical Trials, Meta-Analysis and Integrative Data Analysis, Health Disparities Research, Behavioral Health Intervention, Chronic Illness (HIV/AIDS, cardiovascular disease, diabetes), Alcohol Use Intervention, Substance Abuse Prevention, Suicide Prevention","Research methods, Data analysis, Health, Disparities, Mental and behavioral health, HIV or AIDS, Substance use, Self harm and suicide"
Michelle Johnson-Jennings,University of Washington,https://scholar.google.com/citations?user=fgNcAq0AAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0003-0723-6588,https://www.researchgate.net/profile/Michelle-Johnson-Jennings,"Indigenous Health and Psychology, Epidemiology, Addiction Medicine, Psychological and Behavioral Aspects of Healthcare","Indigenous, Health, Mental and behavioral health, Addiction, Healthcare"
Kristian Jones,University of Washington,https://scholar.google.com/citations?user=4PMu1woAAAAJ&hl=en&inst=9897619243961157265&oi=ao,,,"Youth mentoring, Youth development among Black youth, Prevention and early intervention for marginalized youth, Community-based research, Adolescent mental health, Child welfare","Children and adolescents, Black or African American, Oppressed groups, Community based, Child welfare, Mental and behavioral health"
Hyun-Jun Kim,University of Washington,https://scholar.google.com/citations?user=QRKrS-UAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-6381-0487,https://www.researchgate.net/profile/Hyun-Jun-Kim-10,"Aging and health disparities, Intersectionality of sexuality, gender, race and ethnicity, Social isolation and social relations, Support networks, Cognitive impairment and dementia","Aging, Disparities, Health, Intersectionality, Gender and sexuality, Race and ethnicity, Dementia"
Jane J. Lee,University of Washington,https://scholar.google.com/citations?user=kmgVd1gAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-7047-9315,https://www.researchgate.net/profile/Jane-Lee-61,"Immigration and Health, Racial and Ethnic Health Disparities, HIV/AIDS Prevention, Development of Evidence-based Interventions, Community-based Research  ","Immigration, Health, Race and ethnicity, Disparities, HIV or AIDS, Evidence based practice, Community based"
E. Roberto Orellana,University of Washington,https://scholar.google.com/citations?user=UQZWdRIAAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0003-4444-2321,https://www.researchgate.net/profile/E-Roberto-Orellana,"Substance abuse and HIV interventions among populations with health-disparities, Trauma-related risk behaviors, Indigenous and Latinx health, Impact of COVID-19 on racial/ethnic minority populations, Social and structural determinants of health among marginalized communities","Substance use, HIV or AIDS, Health, Disparities, Trauma, Risk Behavior, Indigenous, Latinx, Race and ethnicity, Social determinants, Oppressed groups"
Michael S. Spencer,University of Washington,https://scholar.google.com/citations?user=gZ8-Wb4AAAAJ&hl=en&inst=9897619243961157265&oi=ao,https://orcid.org/0000-0002-6182-5706,https://www.researchgate.net/profile/Michael-Spencer-10,"Native Hawaiian and Pacific Islander health and wellness, Community-based, participatory research, Preservation of indigenous cultural practices","Asian Americans and Pacific Islander (AAPI), Indigenous, Health, Wellbeing, Community based, Culture"
Emiko A. Tajima,University of Washington,,https://orcid.org/0000-0003-2041-131X,https://www.researchgate.net/scientific-contributions/Emiko-A-Tajima-39199187,"Domestic violence (DV), Child maltreatment, Childhood exposure to intimate partner violence, Immigrant and refugee populations,  Measurement issues in DV and child maltreatment research, Child welfare","Domestic violence, Children and adolescents, Adverse childhood experiences (ACEs), Immigration, Refugees, Child welfare"
David Takeuchi,University of Washington,,https://orcid.org/0000-0003-2315-1373,https://www.researchgate.net/profile/David-Takeuchi-2,"Ethnic minority mental health, Health disparities, Research design and data analysis","Race and ethnicity, Mental and behavioral health, Health, Disparities, Data analysis"
Edwina S. Uehara,University of Washington,,,,"Impact of high-violence urban environments on mental health, Services to low-income and minority families with chronically mentally ill members, Financing and organization of mental health services, Social networks and social support","Violence, Urban issues, Mental and behavioral health, Poverty, Oppressed groups, Economic issues"
Maya Williams,University of Washington,https://scholar.google.com/citations?hl=en&user=vLsIpugAAAAJ,https://orcid.org/0000-0002-3933-3633,https://www.researchgate.net/profile/Maya-Williams-6,"Racial identity and social equity, Skin-tone bias (colorism), African American, Afro-Latin, Afro-Caribbean adolescents","Race and ethnicity, Identity, Diversity Equity and Inclusion (DEI), Bias, Black or African American, Black Indigenous People of Color (BIPOC)"
Rocío Calvo,Boston College,https://scholar.google.com/citations?hl=en&user=XILtUPUAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-6303-9215,https://www.researchgate.net/profile/Rocio-Calvo,"Immigrant incorporation, happiness, Latinx populations, social services","Immigration, Wellbeing, Latinx"
Praveen Kumar,Boston College,https://scholar.google.com/citations?hl=en&user=vWLh2ngAAAAJ,,https://www.researchgate.net/profile/Praveen-Kumar-108,Clean energy interventions; energy poverty; environment and development interactions; community development; environmental justice,"Environmental issues, Community Engagement, Social justice"
Robert O. Motley Jr.,Boston College,https://scholar.google.com/citations?hl=en&user=jtYzI4AAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-9963-0883,https://www.researchgate.net/profile/Robert-Motley-Jr,"The intersection of racism, violence, and trauma for Black emerging adults ages 18-29 and associated adverse mental and behavioral outcomes","Discrimination, Violence, Trauma, Black or African American, Children and adolescents, Mental and behavioral health"
"Alejandro Olayo-Méndez, S.J.",Boston College,,https://orcid.org/0000-0001-5074-652X,https://www.researchgate.net/profile/Alejandro-Olayo-Mendez,"Migration, Refugees, and Humanitarian Interventions","Immigration, Refugees, Human rights"
Shanta Pandey,Boston College,https://scholar.google.com/citations?hl=en&user=FxbsOqoAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-9461-5118,https://www.researchgate.net/profile/Shanta-Pandey,"Women’s empowerment, gender equity, maternal and child health, social welfare policy","Empowerment, Gender and sexuality, Health, Children and adolescents, Welfare, Policy"
Tyrone M. Parchment,Boston College,https://scholar.google.com/citations?hl=en&user=nrhE-6YAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-3554-6105,https://www.researchgate.net/profile/Tyrone-Parchment,Male caregiving/fathers; family behavioral health; child/adolescent behavioral/mental health; global research; evidence-based family interventions; implementing evidence-based family-based interventions; mixed methods research; clinical practice with individuals and groups; research methods; anti-oppressive social work practice,"Families and Family Dynamics, Health, Mental and behavioral health, Global perspectives, Evidence based practice, Social Work practice, Group work, Social justice"
María Piñeros-Leaño,Boston College,https://scholar.google.com/citations?user=6z83CdAAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-7057-8316,https://www.researchgate.net/profile/Maria-Pineros-Leano,Maternal and child mental and physical health; risk factors of maternal depression and mood disorders; social-contextual antecedents to childhood obesity; and prevention trials for childhood obesity,"Families and Family Dynamics, Mental and behavioral health, Health, Risk and protective factors, Social determinants, Children and adolescents"
Indrani Saran,Boston College,https://scholar.google.com/citations?hl=en&user=o6PTcxgAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-7416-652X,,"Behavioral economic theories applied to health decision-making; Evaluating complex health interventions, particularly in resource-constrained settings; and Quantitative research methods","Economic issues, Health, Program evaluation, Research methods"
Ce Shen,Boston College,,,https://www.researchgate.net/profile/Ce-Shen-2,"Cross-national research on social development, including governance and corruption, infant/child mortality, maternal mortality, women’s status, and social welfare; Aging and social welfare policy in international and cross-cultural context; Survey Research; Program Evaluation; Comparative education for primary and secondary school students; Various Quantitative Research Methods including structural equation modeling, hierarchical linear modeling, longitudinal data analysis and other multivariate analysis methods.","Social development, Global perspectives, Systems, Health, Children and adolescents, Gender studies, Welfare, Policy, Aging, International issues, Education, Program evaluation, Research methods, Data analysis"
Gautam N. Yadama,Boston College,https://scholar.google.com/citations?hl=en&user=-snPw60AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-5907-1132,https://www.researchgate.net/profile/Gautam-Yadama,"Poverty and environment dynamics, and interventions to address associated social, economic, environment, and health outcomes","Poverty, Environmental issues, Health, Mental and behavioral health, Economic issues"
Dawn Belkin Martinez,Boston University ,https://scholar.google.com/citations?hl=en&user=g5aXFtMAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-2197-5179,https://www.researchgate.net/profile/Dawn-Belkin-Martinez,"Social justice in clinical practice, The Liberation Health framework for social work practice, Family therapy, Clinical practice with the Latinx community, Racial Justice, Community organizing as a therapeutic intervention, Substance misuse with adolescents and young adults","Clinical Social Work, Social justice, Health, Families and Family Dynamics, Latinx, Race and ethnicity, Community Engagement, Children and adolescents, Addiction, Substance use"
Phillipe Copeland,Boston University ,https://scholar.google.com/citations?hl=en&user=IJzGDy4AAAAJ&inst=1297495080519272923,,,"Theories of Justice, Racial Justice, #BlackLivesMatter, Abolition of Mass Incarceration, Adult Behavioral Health","Social justice, Race and ethnicity, Incarceration, Mental and behavioral health"
Melvin Delgado,Boston University ,https://scholar.google.com/citations?user=a590EGEAAAAJ&hl=en&inst=1297495080519272923&oi=ao,,https://www.researchgate.net/profile/Melvin-Delgado,"Latino and other marginalized urban population groups, Youth development-youth-led research and macro-practice, Community-capacity enhancement, Non-traditional urban settings","Latinx, Urban issues, Children and adolescents, Community Engagement"
Jorge Delva,Boston University ,,,https://www.researchgate.net/profile/Jorge-Delva,"Addictions and mental health, Behavioral health, Cross-cultural research, survey research, and community-based participatory research","Addiction, Mental and behavioral health, Culture, Cultural competence, Community based"
Yoonsook Ha,Boston University ,https://scholar.google.com/citations?user=-t2Vu6UAAAAJ&hl=en&inst=1297495080519272923&oi=ao,,https://www.researchgate.net/profile/Yoonsook-Ha,"Child and family policy, Early care and education, Equitable access to safety-net programs and its impacts on the well-being of children and families, Family and work balance among low-income working families, Immigrant families, At-risk youth and their access to resources","Children and adolescents, Families and Family Dynamics, Policy, Education, Diversity Equity and Inclusion (DEI), Wellbeing, Labor and employment, Socioeconomic Issues, Immigration"
Hyeouk Chris Hahm,Boston University ,https://scholar.google.com/citations?user=06wYre0AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0001-6622-7628,https://www.researchgate.net/profile/Hyeouk-Hahm,"HIV/STI infections among Asian Americans, acculturation, health risk behaviors (tobacco use, binge drinking, sexual activity), Health care utilization among Asian American adolescents and sexual minority populations, Health status and health care utilization among people with mental illness","HIV or AIDS, Sexual or Reproductive Health, Asian Americans and Pacific Islander (AAPI), Culture, Health, Risk Behavior, Healthcare, Children and adolescents, LGBTQIA2S+, Mental and behavioral health, Gender and sexuality"
Daniel Jacobson López,Boston University ,https://scholar.google.com/citations?user=HFcp5IgAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-6407-8590,,"Violence Against Gay Black and/or Latino Men, Sexual Violence, LGBT Persons of Color, Public Health and Social Work, Effects of COVID-19 on LGBT Populations and People Living with HIV/AIDS (PLWHA)","Violence, LGBTQIA2S+, Black or African American, Latinx, Sexual Violence, Black Indigenous People of Color (BIPOC), Public health, HIV or AIDS, Gender and sexuality"
Christina Lee,Boston University ,https://scholar.google.com/citations?hl=en&user=eb2aBocAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-2278-9888,https://www.researchgate.net/profile/Christina-Lee-10,"Health inequities, Social and structural determinants of risky health behaviors, Addiction research and treatment, Mechanisms of behavior change in addictions treatment, Optimizing behavioral treatments for use in the community, Interdisciplinary interventions and community collaboration","Health, Diversity Equity and Inclusion (DEI), Disparities, Social determinants, Risk Behavior, Addiction, Substance use, Community based"
Margaret Lombe,Boston University ,https://scholar.google.com/citations?user=Wq9r-MMAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-9704-6982,https://www.researchgate.net/profile/Margaret-Lombe,"International Socioeconomic Development (capacity building), Poverty, Social Exclusion/Inclusion, Global Health, Food Security and Low-Resource Households, HIV/AIDS and Youth, Rights-Based Approaches, Cross-Cultural Research, Evaluation Research","International issues, Socioeconomic Issues, Poverty, Food insecurity, HIV or AIDS, Children and adolescents, Culture"
Judith C. Scott,Boston University ,https://scholar.google.com/citations?user=mAgc9s0AAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-1561-9354,https://www.researchgate.net/profile/Judith-Scott-7,"Childhood and adolescent trauma related to physical maltreatment and racial discrimination experiences, Physical discipline, Child and adolescent mental health, Racially and ethnically diverse children and families, Program evaluation","Children and adolescents, Trauma, Domestic violence, Discrimination, Families and Family Dynamics, Mental and behavioral health, Race and ethnicity"
David B. Miller,Case Western Reserve University,https://scholar.google.com/citations?user=QeQJx7kAAAAJ&hl=en&oi=ao&inst=1297495080519272923,https://orcid.org/0000-0002-0387-9781,https://www.researchgate.net/profile/David-Miller-87,awareness and knowledge of African American males regarding prostate cancer; and effects of chronic stress on adolescents and young adults,"Black or African American, Health, Stress and coping, Children and adolescents"
Tamara J. Cadet,University of Pennsylvania,https://scholar.google.com/citations?hl=en&user=pw6L23QAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-4660-8009,https://www.researchgate.net/profile/Tamara-Cadet,"Health social work
Health literacy
Shared-decision-making
Social determinants of health
Evidence-based health promotion interventions in the community
Facilitators and barriers to reducing disparities in preventative health behaviors
Advancing health equity
Health care service utilization among vulnerable populations with a focus on oncology and gerontology","Medical Social Work, Health literacy, Health, Social determinants, Evidence based practice, Community based, Risk and protective factors, Disparities, Healthcare, Aging, Vulnerable populations"
Yoosun Park,University of Pennsylvania,https://scholar.google.com/citations?hl=en&user=C9MnsrEAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-5061-2553,https://www.researchgate.net/profile/Yoosun-Park,"Critical history of social work
Historical and contemporary immigration
Discourse Analysis
Critical theories and methodologies for social work research and education","Social Work history, Immigration, Social Work education, Theory, Research methods"
Doris F. Chang,University of New York,https://scholar.google.com/citations?hl=en&user=FSfF8R8AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-3012-6881,https://www.researchgate.net/profile/Doris-Chang-3,Improving well-being of racial and ethnic minorities; Asian American mental health; mindfulness and other contemplative approaches to the development of critical consciousness in clinical and educational settings,"Race and ethnicity, Wellbeing, Asian Americans and Pacific Islander (AAPI), Mental and behavioral health, Clinical Social Work"
Ernest Gonzales,University of New York,https://scholar.google.com/citations?hl=en&user=IP3DxhcAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-6182-1326,https://www.researchgate.net/profile/Ernest-Gonzales-2,"Gerontology and productive aging: employment, volunteering, and caregiving; health equity; discrimination and prejudice; intergenerational research; cross-national aging research; social policy","Aging, Labor and employment, Health, Disparities, Discrimination, Policy"
Wen-Jui Han,University of New York,https://scholar.google.com/citations?hl=en&user=KnTKjAMAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Wen-Jui-Han,"Social welfare policy, with an emphasis on children and families; effects of maternal employment and child care on children's cognitive and social and emotional outcomes; impact of welfare reform and child care subsidies on families; precarious parental work, parental work schedules, and child well-being; cognitive and socio-emotional outcomes of children in immigrant families; quantitative research methods; use of large-scale longitudinal data","Policy, Welfare, Child welfare, Children and adolescents, Families and Family Dynamics, Labor and employment, Mental and behavioral health, Wellbeing, Research methods"
Robert L. Hawkins,North Carolina State University,,https://orcid.org/0000-0002-2694-7644,https://www.researchgate.net/profile/Robert-Hawkins-5,Poverty; social capital; family and children's policy; social policy analysis; diversity and racism; community-participatory research; qualitative methods; ethnographic research,"Poverty, Families and Family Dynamics, Children and adolescents, Child welfare, Policy, Diversity Equity and Inclusion (DEI), Race and ethnicity, Community Engagement, Research methods"
"Kirk ""Jae"" James",University of New York,https://scholar.google.com/citations?hl=en&user=qJBjvjQAAAAJ&inst=1297495080519272923,,,"Oppression; anti-oppressive practice; mass incarceration and the intersection of race, class, power, privilege, immigration and critical pedagogy; trauma and healing modalities for impacted people; human rights and social justice frameworks","Oppressed groups, Social justice, Incarceration, Race and ethnicity, Intersectionality, Immigration, Pedagogy, Trauma, Human rights"
Minchao Jin,University of New York,https://scholar.google.com/citations?hl=en&user=Bo8JYHIAAAAJ&inst=1297495080519272923,https://orcid.org/0000-0001-5210-4096,https://www.researchgate.net/profile/Minchao-Jin,Social development; poverty; financial social work; asset building; program evaluation; child and maternal nutrition; quantitative methods,"Social development, Poverty, Economic issues, Children and adolescents, Nutrition, Research methods"
Lance Keene,University of New York,https://scholar.google.com/citations?hl=en&user=bmPqIv4AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-0597-9276,https://www.researchgate.net/profile/Lance-Keene-2,"Intersections of race, gender, and sexuality; sexual minority men; urban LGBTQ youth and young adult development; culturally congruent interventions; and HIV prevention and treatment","Intersectionality, Race and ethnicity, Gender and sexuality, LGBTQIA2S+, Children and adolescents, Cultural competence, HIV or AIDS"
Linda Lausell Bryant,University of New York,https://socialwork.nyu.edu/faculty-&-research/our-faculty/linda-lausell-bryant.html,,https://www.researchgate.net/profile/Linda-Lausell-Bryant,Nonprofit management and leadership for social work professionals; macro social work practice for systems change; child welfare and youth development; college-going among foster care youth; teen pregnancy prevention and development of parenting competencies in teen parents; conflict resolution and mediation; clinical practice with Latino youth and families; diversity and inclusion,"Nonprofit, Systems, Children and adolescents, Child welfare, Education, Families and Family Dynamics, Clinical Social Work, Latinx, Diversity Equity and Inclusion (DEI)"
Michael A. Lindsey,University of New York,https://scholar.google.com/citations?hl=en&user=V6s-VXoAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Michael-Lindsey-7,Child and adolescent mental health services research; adolescent depression; adolescent suicide; school mental health; adolescent risk behaviors,"Children and adolescents, Mental and behavioral health, Self harm and suicide, School Social Work, Risk Behavior"
Ifrah Magan,University of New York,,,,"The intersections of race, gender, religion, and class in refugee resettlement and integration; access to health and mental health services amongst Muslim refugees; national and international immigration policies; community‐centered research models; international social work; and indigenous methodologies.","Race and ethnicity, Intersectionality, Gender and sexuality, Faith and spirituality, Refugees, Mental and behavioral health, Health, Muslim and Arab Communities, International issues, Immigration, Policy, Community based, Indigenous"
Darcey Merritt,University of New York,https://scholar.google.com/citations?hl=en&user=dEioki8AAAAJ&inst=1297495080519272923,https://orcid.org/0000-0002-6286-1872,https://www.researchgate.net/profile/Darcey-Merritt-3,"Public child welfare system; addressing issues that include child maltreatment, parental fears and concerns, and optimal parenting in low socio-economic and under resourced environments; understanding parental perspectives regarding the etiology of child neglect and the impact on parent and child well being; domestic violence; correlates of specific types of child maltreatment; decision making processes of neglectful parenting behavior","Child welfare, Children and adolescents, Domestic violence, Families and Family Dynamics, Poverty, Wellbeing"
Kiara L. Moore,University of New York,https://scholar.google.com/citations?user=i4HN_zEAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-2946-6483,https://www.researchgate.net/profile/Kiara-Moore,Mental health disparities and intervention research,"Mental and behavioral health, Disparities"
Rohini Pahwa,University of New York,https://scholar.google.com/citations?user=sh0K1YcAAAAJ&hl=en&inst=1297495080519272923&oi=ao,https://orcid.org/0000-0002-1730-5623,https://www.researchgate.net/profile/Rohini-Pahwa,"Serious mental illness; mental health services; cross-cultural and cross-national research; community integration; stigma; health vulnerabilities in people with serious mental illness; social network analysis; qualitative, quantitative, and mixed methods","Mental and behavioral health, Community Engagement, International issues, Health, Research methods"
Ramesh Raghavan,University of New York,https://scholar.google.com/citations?hl=en&user=wUX956AAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Ramesh-Raghavan,Mental health services research with attention to the needs of vulnerable children in the child welfare system,"Mental and behavioral health, Vulnerable populations, Child welfare, Children and adolescents"
Qingwen Xu,University of New York,https://scholar.google.com/citations?hl=en&user=qsLsFo0AAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Qingwen-Xu-3,Community behaviors and mechanisms; innovative community practice; global social work; culturally sensitive and locally relevant practice; ethnic minority groups of people; migrants; and older adults,"Community based, Community Engagement, Global perspectives, Cultural competence, Race and ethnicity, Aging"
Shantha Balaswamy,Ohio State University,https://scholar.google.com/citations?hl=en&user=jcNb0LkAAAAJ&inst=1297495080519272923,,https://www.researchgate.net/profile/Shantha-Balaswamy,"Social policy for older adults
Service delivery systems for older adults and victims of violence
Evaluation and assessment methods","Aging, Violence"
Nancy Mendoza,Ohio State University,,,https://www.researchgate.net/profile/Nancy-Mendoza-4,"Adult development and aging (gerontology)
Grandparents raising grandchildren
Family caregiving
Death, dying, and grief
Cultural competence
Mixed methods research
Risk and resilience","Aging, Families and Family Dynamics, Death and dying, Grief and loss, Cultural competence, Research methods, Resilience, Risk and protective factors"
